dataset,comparison,LPIPS
coco_val2017,repaint,0.581346
coco_val2017,repaint,0.329792
coco_val2017,repaint,0.621423
coco_val2017,repaint,0.489661
coco_val2017,repaint,0.707604
coco_val2017,repaint,0.783895
coco_val2017,repaint,0.302180
coco_val2017,repaint,0.051609
coco_val2017,repaint,0.499142
coco_val2017,repaint,0.343353
coco_val2017,repaint,0.282362
coco_val2017,repaint,0.661466
coco_val2017,repaint,0.643468
coco_val2017,repaint,0.037523
coco_val2017,repaint,0.710966
coco_val2017,repaint,0.009130
coco_val2017,repaint,0.018140
coco_val2017,repaint,0.399069
coco_val2017,repaint,0.487075
coco_val2017,repaint,0.709188
coco_val2017,repaint,0.323141
coco_val2017,repaint,0.673537
coco_val2017,repaint,0.701559
coco_val2017,repaint,0.335341
coco_val2017,repaint,0.026752
coco_val2017,repaint,0.639846
coco_val2017,repaint,0.461555
coco_val2017,repaint,0.698989
coco_val2017,repaint,0.034628
coco_val2017,repaint,0.608226
coco_val2017,repaint,0.600713
coco_val2017,repaint,0.703734
coco_val2017,repaint,0.635368
coco_val2017,repaint,0.017815
coco_val2017,repaint,0.021669
coco_val2017,repaint,0.363519
coco_val2017,repaint,0.460810
coco_val2017,repaint,0.675196
coco_val2017,repaint,0.026844
coco_val2017,repaint,0.031899
coco_val2017,repaint,0.024801
coco_val2017,repaint,0.429436
coco_val2017,repaint,0.666387
coco_val2017,repaint,0.026450
coco_val2017,repaint,0.335278
coco_val2017,repaint,0.389642
coco_val2017,repaint,0.436420
coco_val2017,repaint,0.641745
coco_val2017,repaint,0.795891
coco_val2017,repaint,0.338966
coco_val2017,repaint,0.759870
coco_val2017,repaint,0.468236
coco_val2017,repaint,0.364028
coco_val2017,repaint,0.527136
coco_val2017,repaint,0.548510
coco_val2017,repaint,0.313132
coco_val2017,repaint,0.644321
coco_val2017,repaint,0.351261
coco_val2017,repaint,0.504826
coco_val2017,repaint,0.265741
coco_val2017,repaint,0.687115
coco_val2017,repaint,0.296883
coco_val2017,repaint,0.644008
coco_val2017,repaint,0.014912
coco_val2017,repaint,0.598527
coco_val2017,repaint,0.304448
coco_val2017,repaint,0.534828
coco_val2017,repaint,0.787257
coco_val2017,repaint,0.358022
coco_val2017,repaint,0.622488
coco_val2017,repaint,0.620945
coco_val2017,repaint,0.604962
coco_val2017,repaint,0.715953
coco_val2017,repaint,0.442511
coco_val2017,repaint,0.005308
coco_val2017,repaint,0.620798
coco_val2017,repaint,0.370435
coco_val2017,repaint,0.693055
coco_val2017,repaint,0.725288
coco_val2017,repaint,0.522204
coco_val2017,repaint,0.630115
coco_val2017,repaint,0.674425
coco_val2017,repaint,0.028289
coco_val2017,repaint,0.025749
coco_val2017,repaint,0.594624
coco_val2017,repaint,0.341514
coco_val2017,repaint,0.446473
coco_val2017,repaint,0.307781
coco_val2017,repaint,0.508472
coco_val2017,repaint,0.613969
coco_val2017,repaint,0.290014
coco_val2017,repaint,0.736216
coco_val2017,repaint,0.748976
coco_val2017,repaint,0.408204
coco_val2017,repaint,0.549563
coco_val2017,repaint,0.383048
coco_val2017,repaint,0.006012
coco_val2017,repaint,0.377294
coco_val2017,repaint,0.045859
coco_val2017,repaint,0.513509
coco_val2017,repaint,0.025018
coco_val2017,repaint,0.027195
coco_val2017,repaint,0.578842
coco_val2017,repaint,0.041863
coco_val2017,repaint,0.723877
coco_val2017,repaint,0.377142
coco_val2017,repaint,0.792330
coco_val2017,repaint,0.011523
coco_val2017,repaint,0.030880
coco_val2017,repaint,0.375933
coco_val2017,repaint,0.017989
coco_val2017,repaint,0.025022
coco_val2017,repaint,0.332843
coco_val2017,repaint,0.697222
coco_val2017,repaint,0.695024
coco_val2017,repaint,0.643005
coco_val2017,repaint,0.032417
coco_val2017,repaint,0.557819
coco_val2017,repaint,0.005321
coco_val2017,repaint,0.394539
coco_val2017,repaint,0.040887
coco_val2017,repaint,0.699421
coco_val2017,repaint,0.664042
coco_val2017,repaint,0.027738
coco_val2017,repaint,0.332050
coco_val2017,repaint,0.006887
coco_val2017,repaint,0.641689
coco_val2017,repaint,0.689539
coco_val2017,repaint,0.291272
coco_val2017,repaint,0.433606
coco_val2017,repaint,0.690956
coco_val2017,repaint,0.646835
coco_val2017,repaint,0.278606
coco_val2017,repaint,0.335401
coco_val2017,repaint,0.365006
coco_val2017,repaint,0.377793
coco_val2017,repaint,0.660362
coco_val2017,repaint,0.032323
coco_val2017,repaint,0.683380
coco_val2017,repaint,0.667828
coco_val2017,repaint,0.660307
coco_val2017,repaint,0.026871
coco_val2017,repaint,0.456415
coco_val2017,repaint,0.754702
coco_val2017,repaint,0.690256
coco_val2017,repaint,0.628586
coco_val2017,repaint,0.348590
coco_val2017,repaint,0.407863
coco_val2017,repaint,0.018952
coco_val2017,repaint,0.298845
coco_val2017,repaint,0.227959
coco_val2017,repaint,0.699701
coco_val2017,repaint,0.437660
coco_val2017,repaint,0.575280
coco_val2017,repaint,0.017515
coco_val2017,repaint,0.678724
coco_val2017,repaint,0.790981
coco_val2017,repaint,0.681973
coco_val2017,repaint,0.009635
coco_val2017,repaint,0.474869
coco_val2017,repaint,0.382502
coco_val2017,repaint,0.042327
coco_val2017,repaint,0.453206
coco_val2017,repaint,0.619317
coco_val2017,repaint,0.009883
coco_val2017,repaint,0.029957
coco_val2017,repaint,0.030495
coco_val2017,repaint,0.684072
coco_val2017,repaint,0.714684
coco_val2017,repaint,0.692449
coco_val2017,repaint,0.612234
coco_val2017,repaint,0.012894
coco_val2017,repaint,0.507102
coco_val2017,repaint,0.049877
coco_val2017,repaint,0.598499
coco_val2017,repaint,0.628606
coco_val2017,repaint,0.394220
coco_val2017,repaint,0.027579
coco_val2017,repaint,0.508501
coco_val2017,repaint,0.219526
coco_val2017,repaint,0.552636
coco_val2017,repaint,0.719485
coco_val2017,repaint,0.640750
coco_val2017,repaint,0.672878
coco_val2017,repaint,0.373304
coco_val2017,repaint,0.011951
coco_val2017,repaint,0.716066
coco_val2017,repaint,0.713321
coco_val2017,repaint,0.334684
coco_val2017,repaint,0.038496
coco_val2017,repaint,0.700513
coco_val2017,repaint,0.028169
coco_val2017,repaint,0.034247
coco_val2017,repaint,0.225176
coco_val2017,repaint,0.314555
coco_val2017,repaint,0.611763
coco_val2017,repaint,0.359799
coco_val2017,repaint,0.653695
coco_val2017,repaint,0.581409
coco_val2017,repaint,0.563272
coco_val2017,repaint,0.535065
coco_val2017,repaint,0.673529
coco_val2017,repaint,0.381061
coco_val2017,repaint,0.019076
coco_val2017,repaint,0.643558
coco_val2017,repaint,0.580036
coco_val2017,repaint,0.278324
coco_val2017,repaint,0.275558
coco_val2017,repaint,0.017677
coco_val2017,repaint,0.331183
coco_val2017,repaint,0.573535
coco_val2017,repaint,0.005689
coco_val2017,repaint,0.012787
coco_val2017,repaint,0.033442
coco_val2017,repaint,0.506556
coco_val2017,repaint,0.669699
coco_val2017,repaint,0.807621
coco_val2017,repaint,0.610692
coco_val2017,repaint,0.315289
coco_val2017,repaint,0.332589
coco_val2017,repaint,0.737713
coco_val2017,repaint,0.643806
coco_val2017,repaint,0.526373
coco_val2017,repaint,0.611139
coco_val2017,repaint,0.331377
coco_val2017,repaint,0.641274
coco_val2017,repaint,0.028564
coco_val2017,repaint,0.036339
coco_val2017,repaint,0.015870
coco_val2017,repaint,0.069910
coco_val2017,repaint,0.407883
coco_val2017,repaint,0.017687
coco_val2017,repaint,0.496894
coco_val2017,repaint,0.278011
coco_val2017,repaint,0.368402
coco_val2017,repaint,0.025501
coco_val2017,repaint,0.660692
coco_val2017,repaint,0.315754
coco_val2017,repaint,0.597643
coco_val2017,repaint,0.368615
coco_val2017,repaint,0.593838
coco_val2017,repaint,0.635093
coco_val2017,repaint,0.794116
coco_val2017,repaint,0.702437
coco_val2017,repaint,0.029865
coco_val2017,repaint,0.333624
coco_val2017,repaint,0.576141
coco_val2017,repaint,0.466835
coco_val2017,repaint,0.640057
coco_val2017,repaint,0.634922
coco_val2017,repaint,0.673779
coco_val2017,repaint,0.013608
